age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
54.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Separated,8,0
69.9,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,8,0
41,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
80,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,9,1
61.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,8,1
31.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",10,0
77.6,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
62.7,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,8,0
54.8,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Married,8,1
80,Female,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,"Single, never married",5,0
71.6,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Divorced,7,0
59.5,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,9,1
41.2,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",Two children,Married,9,1
78.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,9,1
67.8,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Living common-law,8,1
74.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,5,0
77.9,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,"Single, never married",10,0
53.7,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",7,0
61.3,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,9,1
39.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Two children,Married,8,1
48.9,Male,Trade certificate or diploma,"Less than $25,000",No child,Living common-law,7,1
40.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",Three or more children,Living common-law,10,1
29.9,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,9,1
18,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",7,0
74.9,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Widowed,6,0
44.6,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,Separated,8,0
26.4,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,"Single, never married",7,0
61.2,Female,Trade certificate or diploma,"Less than $25,000",No child,Living common-law,4,1
51.5,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Widowed,9,0
31.8,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Two children,Married,9,1
80,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",9,0
70.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,0,0
63.3,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,8,1
26.3,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Living common-law,6,1
58.6,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",7,0
34.3,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,10,1
39.5,Male,Trade certificate or diploma,"$100,000 to $ 124,999",Three or more children,Married,8,1
39.4,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",7,0
43,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",5,0
52.6,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Living common-law,8,1
20.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
58.9,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Separated,0,0
61.9,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,8,1
57.8,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,Living common-law,9,1
69.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,10,1
62.7,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,10,1
48.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,10,1
59.6,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
40.9,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,8,1
44.3,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,Married,8,1
72.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,8,0
24.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
40.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,10,1
46.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
37.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Two children,Married,8,1
48.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Living common-law,9,1
40.2,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,Married,7,1
32.3,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,Married,10,1
48,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Living common-law,7,1
58.5,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,10,1
79.9,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,10,0
21.4,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",8,0
61.3,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,Divorced,6,0
53.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",No child,Married,10,1
38.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Two children,Married,3,1
76.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,8,1
72.6,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,9,1
70,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,10,1
69.3,Female,Trade certificate or diploma,"Less than $25,000",No child,Separated,7,0
51.4,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Three or more children,Married,8,1
37,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Three or more children,Married,9,1
36.2,Male,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,"Single, never married",7,0
79,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Widowed,7,0
27.5,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",7,0
80,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Widowed,8,0
24.5,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",8,0
61.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Divorced,6,0
56,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Married,8,1
40,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",Two children,Married,7,1
55.9,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Divorced,8,0
59.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,10,1
38.9,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Three or more children,Living common-law,10,1
61.3,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,10,1
62.2,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",No child,Widowed,7,0
32.4,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,9,1
40.9,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Separated,7,0
73.3,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,6,1
30.3,Female,Trade certificate or diploma,"$25,000 to $49,999",Three or more children,"Single, never married",8,0
19.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",6,0
62.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Widowed,10,0
28.7,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
46.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",One child,Married,7,1
36.6,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",One child,Married,8,1
22.1,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Living common-law,8,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,8,0
47.8,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",Two children,Married,9,1
63.6,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Divorced,8,0
56.3,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,10,1
37.9,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,10,1
23.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,"Single, never married",7,0
50.6,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",9,0
36.1,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",One child,Married,9,1
56,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,9,1
60.5,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,"Single, never married",8,0
69,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
65.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,9,0
20.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
37.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,8,1
80,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Divorced,8,0
49.2,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,4,1
57.5,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,"Single, never married",10,0
50.1,Female,Trade certificate or diploma,"Less than $25,000",No child,Living common-law,9,1
67.8,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
76.7,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,7,1
57.3,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,"Single, never married",9,0
